Reactants,Products,dE (kcal/mol),K,k2
60 + 60,70 + 43,-2.7,95.32874120871114,14056621.151287697
70 + 0,60 + 2,-12.8,2415389534.034459,0.5547759403270159
60 + 106,74 + 54,-1.7,17.626982967538215,76019815.89633001
70 + 19,60 + 6,-21.4,4866107420122032.0,2.753741100040072e-07
70 + 54,60 + 33,-6.9,114292.18271317073,11724.336417328585
70 + 106,60 + 43,-9.1,4685084.717690128,286.01403832472334
60 + 18,70 + 6,-0.9,4.568159783502966,293334748.23694944
70 + 74,60 + 54,-0.6,2.753135104728402,486717850.38758266
60 + 1,17 + 17,-6.1,29619.643565809583,45240.24730489272
2 + 54,17 + 17,-6.7,81546.88049057324,16432.265611373117
17 + 17,6 + 18,-9.7,12898671.20489922,103.88667008513531
17 + 13,2 + 33,-1.6,14.889269728949303,89997697.96598078
70 + 1,17 + 13,-4.7,2788.146600640567,480606.0053270296
17 + 13,18 + 18,-10.3,35511784.49855749,37.73395279683654
17 + 2,33 + THF,-6.9,114292.18271317073,11724.336417328585
70,17 + 2,-3.7,515.5487423555724,2599172.279768275
17 + 105,2 + 19,-13.9,15464562601.113438,0.08664971875140658
17 + 105,3 + 1,-21.6,6820101946472331.0,1.9647800143121166e-07
17 + 105,6 + 0,-22.5,3.115531543126511e+16,4.3010317226808673e-08
17 + 105,43 + THF,-34.8,3.235909716293604e+25,4.1410302433741254e-17
17 + 105,54,-24.3,6.501517334722868e+17,2.061057336328887e-09
60 + 105,17 + 3,-27.7,2.0200898873699425e+20,6.633368190088878e-12
2 + 74,17 + 3,-0.4,1.964347639795465,682160312.5908638
17 + 3,6 + 6,-17.5,6734460118540.957,0.0001989766033821751
18 + 19,17 + 3,-4.8,3300.807463037276,405961.273114362
60 + 13,17 + 70,-1.4,10.623416845801655,126136441.73527506
17 + 70,33 + 18,-9.3,6566389.23965735,204.06953518794515
17 + 106,3 + 43,-2.2,40.99217117454028,32689168.726741098
17 + 106,6 + 74,-9.0,3957426.5314224,338.603885469573
19 + 54,17 + 106,-11.7,377256489.6664526,3.5519601032834376
60 + 0,17 + 6,-22.7,4.366579055305812e+16,3.0687638607430494e-08
2 + 43,17 + 6,-7.2,189640.1494217934,7066.014259562735
