Index,Energy,C,N,H,Li,O
60,-2176.623423,43,3,86,3,4
17,-1528.517345,30,2,60,2,3
13,-1993.099016,38,2,76,2,5
2,-1112.695791,21,1,42,1,3
105,-415.772165,9,1,18,1,
3,-1063.922464,22,2,44,2,1
70,-2641.207301,51,3,102,3,6
106,-1247.445454,27,3,54,3,
6,-1296.23386,26,2,52,2,2
0,-648.091541,13,1,26,1,1
1,-880.401528,17,1,34,1,2
33,-2408.923088,47,3,94,3,5
43,-1712.043872,35,3,70,3,2
18,-1760.816361,34,2,68,2,4
74,-1479.743323,31,3,62,3,1
19,-831.61587,18,2,36,2,
54,-1944.328235,39,3,78,3,3
THF,-232.301074,4,,8,,1
