42_energy,42_index,55_energy,55_index,68_energy,68_index,71_energy,71_index,84_energy,84_index,97_energy,97_index,110_energy,110_index,123_energy,123_index,58_energy,58_index,100_energy,100_index,113_energy,113_index,126_energy,126_index,139_energy,139_index,152_energy,152_index,165_energy,165_index,29_energy,29_index,87_energy,87_index
87.81085921336536,0.0,127.75129699711484,1.0,185.92624070684408,2.0,139.58921828305023,4.0,184.2271092065756,7.0,248.1907935021184,9.0,379.4685406675865,12.0,435.8637777947041,13.0,83.55211052658916,19.0,173.70524788134557,41.0,250.81922672167468,46.0,378.6145906733517,54,469.92423338918354,32.0,535.3539399319673,34.0,574.2184204026858,71.0,32.67660665442539,105.0,122.57868234037342,107.0
,,,,,,140.46743892851566,3.0,187.78539970191585,6.0,283.2395252310873,8.0,398.4825986132454,11.0,,,1.0147539286031411e+17,38.0,194.23564261203745,40.0,298.05863231166154,47.0,383.362692861865,51,477.2546517816614,63.0,544.4739858478598,65.0,702.187207833449,37.0,,,152.97023901718063,106.0
,,,,,,400.2940591848461,14.0,206.90742937316008,5.0,291.0552207703155,10.0,579.826694523713,18.0,,,,,254.63438921808395,39.0,300.0730894103634,44.0,386.9716839589815,55,479.8095238307878,60.0,565.5582453071027,68.0,859.6534390883058,70.0,,,477.376711451218,109.0
,,,,,,,,375.9552010304632,16.0,484.8653998981278,17.0,,,,,,,266.8805090661252,21.0,323.0392905194878,43.0,398.2929264956354,52,481.0531637371146,61.0,566.5388345407308,67.0,870.4737372051296,72.0,,,6514669744526.183,108.0
,,,,,,,,440.515420403654,15.0,,,,,,,,,288.75593332400626,20.0,325.3403290410978,42.0,414.4483694368005,53,511.7442189383936,59.0,645.3645473920661,33.0,910.4823448719044,95.0,,,,
,,,,,,,,,,,,,,,,,,407.9800795894871,74.0,329.75041452612624,23.0,417.0729258436731,48,529.4208826033585,30.0,678.3610872430394,35.0,2638.333815812187,36.0,,,,
,,,,,,,,,,,,,,,,,,507.1921791055344,73.0,362.3259474509181,45.0,417.56876634784606,28,567.8406504867081,31.0,706.100726017097,69.0,4457.1183825486005,104.0,,,,
,,,,,,,,,,,,,,,,,,568.533757945627,96.0,363.498790474878,24.0,418.0442461296589,27,590.0449314864225,29.0,716.7566671858884,93.0,,,,,,
,,,,,,,,,,,,,,,,,,1806036279.4302795,75.0,402.36652813732746,22.0,429.33529658484446,25,591.6816267256742,62.0,785.7612255915509,64.0,,,,,,
,,,,,,,,,,,,,,,,,,,,465.3010601115613,79.0,461.3464759771401,50,597.2242549811152,56.0,795.0456247294975,94.0,,,,,,
,,,,,,,,,,,,,,,,,,,,506.7724863796841,80.0,485.1690722420116,85,599.033846031197,58.0,847.0835280777567,92.0,,,,,,
,,,,,,,,,,,,,,,,,,,,518.6375057406108,78.0,485.1930359228774,49,616.9363178083287,88.0,1092.2001723848591,66.0,,,,,,
,,,,,,,,,,,,,,,,,,,,543.1386783876038,76.0,527.4627235721778,26,654.9027431356456,91.0,1350.0030095020911,103.0,,,,,,
,,,,,,,,,,,,,,,,,,,,644.298577741653,98.0,560.0443262037547,86,656.8179786207253,57.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,650.8442423464488,77.0,606.4814662558653,82,757.70196784749,90.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,706.6262244054479,97.0,640.9657045410445,84,863.0251470387818,89.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,769.7663530148529,83,864.771304512006,87.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,779.4232488834,81,970.1818564006464,102.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,906.159736670701,100,1228.8680802983993,101.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,934.6308153107688,99,,,,,,,,,,
