S347,S1211,S0,S359,S15,S1508,S155,S985,S2260,S257,S825,S822,S159,Et2O,S278,S1000,S2050,S102,S871
0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
1.5409313505346084e-05,6.228074346386843,0.023587592013627236,6.066143057371993e-27,5.584173383269505,2.6116706710069995,1.7010941772887312e-11,8.720639031059207e-06,2.2231617469196265e-05,0.17859537627140723,0.005892532769963473,0.04079255002876459,5.14131087129247e-11,3.5929166640167467,0.1817759799435152,3.777950521879855e-09,0.11937873329441831,0.02597511026195966,4.9494115529092556e-05
1.5409313761263415e-05,6.228074409589788,0.023587591884630554,6.066143157802567e-27,5.5841733543652055,2.611670697917544,1.7010941677553503e-11,8.720639371213105e-06,2.223161819132604e-05,0.17859537933597552,0.005892532607410506,0.04079254953414249,5.14131084166428e-11,3.592916744640297,0.18177598305516535,3.777950669115236e-09,0.11937873717919804,0.025975109545948644,4.949411492550005e-05
1.5409313978623684e-05,6.228074438070102,0.02358759180819628,6.0661432575308765e-27,5.584173351966302,2.611670704084522,1.7010941526710536e-11,8.720639694351189e-06,2.223161880212045e-05,0.1785953829318999,0.005892532469472247,0.04079254869042675,5.1413108081180375e-11,3.5929168272018797,0.181775987130738,3.777950817827201e-09,0.11937874018592926,0.02597510887487514,4.949411401863755e-05
1.540931417957978e-05,6.228074451777606,0.02358759175412478,6.066143356960406e-27,5.584173360844174,2.611670701426108,1.7010941352251088e-11,8.720640010249861e-06,2.2231619365547e-05,0.17859538675389067,0.005892532342006367,0.04079254769818841,5.1413107729048535e-11,3.5929169105880012,0.18177599161641345,3.777950967167384e-09,0.11937874281909297,0.025975108222920398,4.949411298274823e-05
1.5409314350879983e-05,6.228074446613804,0.023587591816183327,6.066143413517753e-27,5.5841733686990445,2.611670704251139,1.7010941159017813e-11,8.720640302462621e-06,2.2231619844530176e-05,0.17859539132576385,0.005892532218120932,0.04079254682361524,5.141310705545444e-11,3.5929169910264718,0.18177599593114546,3.77795108683288e-09,0.11937874561233963,0.025975107719575126,4.9494111837248735e-05
1.5409314515713293e-05,6.228074437334841,0.023587591903565717,6.0661434607261986e-27,5.584173376330835,2.6116707082719146,1.7010940961690634e-11,8.720640589510327e-06,2.2231620305099252e-05,0.17859539606115973,0.005892532095016265,0.04079254597470065,5.141310631176084e-11,3.592917070822164,0.1817760002086008,3.7779512000273815e-09,0.1193787484404947,0.0259751072486363,4.949411066784715e-05
1.5409314680546602e-05,6.228074428055879,0.0235875919909481,6.066143507934645e-27,5.584173383962624,2.6116707122926908,1.701094076436345e-11,8.720640876558031e-06,2.2231620765668328e-05,0.17859540079655564,0.0058925319719115975,0.040792545125786075,5.1413105568067244e-11,3.5929171506178563,0.18177600448605616,3.777951313221884e-09,0.11937875126864977,0.025975106777697474,4.9494109498445566e-05
1.5409314845379908e-05,6.228074418776917,0.023587592078330485,6.066143555143091e-27,5.5841733915944145,2.611670716313467,1.7010940567036272e-11,8.720641163605735e-06,2.22316212262374e-05,0.17859540553195152,0.005892531848806931,0.0407925442768715,5.141310482437365e-11,3.592917230413548,0.1817760087635115,3.777951426416385e-09,0.11937875409680485,0.025975106306758648,4.949410832904399e-05
1.540931501021322e-05,6.228074409497954,0.02358759216571287,6.0661436023515366e-27,5.584173399226205,2.6116707203342426,1.7010940369709093e-11,8.720641450653439e-06,2.2231621686806477e-05,0.17859541026734743,0.005892531725702264,0.04079254342795692,5.141310408068006e-11,3.592917310209241,0.18177601304096683,3.777951539610886e-09,0.11937875692495992,0.025975105835819818,4.9494107159642404e-05
1.540931517504653e-05,6.228074400218992,0.023587592253095258,6.0661436495599824e-27,5.584173406857995,2.611670724355019,1.7010940172381914e-11,8.720641737701146e-06,2.2231622147375553e-05,0.1785954150027433,0.005892531602597598,0.040792542579042336,5.1413103336986455e-11,3.592917390004933,0.18177601731842213,3.777951652805388e-09,0.11937875975311499,0.025975105364880995,4.9494105990240826e-05
1.540931533987984e-05,6.22807439094003,0.023587592340477644,6.066143696768428e-27,5.5841734144897845,2.6116707283757945,1.7010939975054735e-11,8.72064202474885e-06,2.2231622607944626e-05,0.17859541973813917,0.00589253147949293,0.04079254173012776,5.1413102593292865e-11,3.5929174698006254,0.18177602159587747,3.77795176599989e-09,0.11937876258127006,0.025975104893942166,4.949410482083924e-05
1.540931550471315e-05,6.228074381661067,0.023587592427860026,6.0661437439768746e-27,5.584173422121574,2.61167073239657,1.7010939777727555e-11,8.720642311796554e-06,2.2231623068513702e-05,0.17859542447353507,0.005892531356388263,0.04079254088121318,5.141310184959926e-11,3.5929175495963177,0.1817760258733328,3.777951879194392e-09,0.11937876540942512,0.02597510442300334,4.9494103651437664e-05
1.540931566954646e-05,6.228074372382105,0.023587592515242416,6.0661437911853204e-27,5.584173429753364,2.611670736417346,1.7010939580400376e-11,8.720642598844258e-06,2.2231623529082778e-05,0.17859542920893096,0.005892531233283597,0.0407925400322986,5.141310110590567e-11,3.5929176293920095,0.18177603015078814,3.777951992388893e-09,0.11937876823758019,0.025975103952064513,4.949410248203608e-05
1.540931583437977e-05,6.2280743631031426,0.023587592602624798,6.066143838393766e-27,5.584173437385155,2.611670740438122,1.7010939383073197e-11,8.720642885891962e-06,2.223162398965185e-05,0.17859543394432686,0.00589253111017893,0.04079253918338402,5.1413100362212076e-11,3.592917709187702,0.1817760344282435,3.777952105583395e-09,0.11937877106573527,0.025975103481125687,4.94941013126345e-05
1.5409315999213075e-05,6.22807435382418,0.023587592690007184,6.0661438856022126e-27,5.584173445016945,2.611670744458898,1.7010939185746018e-11,8.720643172939667e-06,2.2231624450220927e-05,0.17859543867972275,0.005892530987074263,0.04079253833446944,5.141309961851848e-11,3.592917788983394,0.18177603870569883,3.777952218777897e-09,0.11937877389389034,0.025975103010186858,4.949410014323291e-05
1.5409316164046388e-05,6.228074344545218,0.02358759277738957,6.0661439328106576e-27,5.584173452648735,2.6116707484796735,1.701093898841884e-11,8.720643459987373e-06,2.2231624910790003e-05,0.17859544341511865,0.005892530863969596,0.040792537485554864,5.141309887482488e-11,3.5929178687790864,0.18177604298315417,3.777952331972398e-09,0.11937877672204542,0.025975102539248035,4.9494098973831325e-05
1.5409316328879697e-05,6.228074335266256,0.023587592864771956,6.066143980019104e-27,5.584173460280525,2.6116707525004497,1.701093879109166e-11,8.720643747035077e-06,2.2231625371359076e-05,0.17859544815051454,0.005892530740864929,0.040792536636640286,5.1413098131131286e-11,3.592917948574778,0.1817760472606095,3.7779524451669e-09,0.11937877955020047,0.025975102068309205,4.949409780442975e-05
