Reactants,Products,dE (kcal/mol),K,k2
985 + 2260,1000 + 2050,-0.5,2.3255353028950725,576211420.3692484
1000 + 257,985 + 278,-4.6,2355.1090312642555,568975.7808285713
1211 + 359,1000 + 871,-17.3,4805002419399.115,0.00027887603023674904
159 + 2260,1000 + 871,-3.0,158.1749188602047,8471633.86999613
359 + 2260,1000 + 1211,-31.7,1.7280415805020454e+23,7.754443036091133e-15
257 + 159,1000 + 102,-1.4,10.623416845801655,126136441.73527506
155 + 278,1000 + 102,-2.0,29.247701850339617,45815565.505172856
359 + 0,1000 + 102,-24.3,6.501517334722868e+17,2.061057336328887e-09
1000 + 102,985 + 825,-3.8,610.34349339299,2195485.025244951
1000 + 102,347 + 15,-8.1,866306.5039261305,1546.7966521399464
1000 + 155,159 + 985,-5.3,7676.144283352704,174566.8073105485
359 + 347,1000 + 155,-16.1,633925997284.237,0.002113811400290587
359 + 359,1000 + 159,-46.0,5.249406185865096e+33,2.5526696783498565e-25
2050 + 359,1000 + 1508,-26.1,1.3567420861765132e+19,9.876600819366526e-11
1000 + 1508,1211 + 985,-5.1,5476.889194372043,244664.43494547252
2260 + 347,1000 + 1508,-2.0,29.247701850339617,45815565.505172856
2050 + 159,1000 + 822,-1.9,24.70513091228197,54239744.96463118
1000 + 822,871 + 985,-0.7,3.2593583487861006,411123864.45604026
1000 + 822,1211 + 347,-7.9,618105.2042829661,2167.915737830535
155 + 2260,1000 + 822,-7.6,372519.17992715887,3597.1302209513588
359 + 1508,1000 + 822,-21.8,9558726625707922.0,1.4018603653713753e-07
159 + 278,1000 + 825,-0.5,2.3255353028950725,576211420.3692484
359 + 15,1000 + 825,-20.2,641987605820778.2,2.0872677102337763e-06
257 + 359,1000 + 0,-23.0,7.245278590823886e+16,1.849480296999351e-08
1000 + 0,985 + 15,-7.9,618105.2042829661,2167.915737830535
1000 + 0,278 + 347,-6.2,35065.85360757804,38213.81378579685
359 + 985,1000 + 347,-24.6,1.07876907200159e+18,1.2421564862938756e-09
359 + 278,1000 + 15,-26.3,1.901544405807888e+19,7.046903537499505e-11
822 + 2260,2050 + 871,-1.2,7.579752904887869,176786765.58649945
2050 + 102,257 + 822,-0.5,2.3255353028950725,576211420.3692484
2050 + 155,985 + 822,-7.1,160186.42222434023,8365.253317933133
2050 + 159,871 + 985,-2.5,68.01656318151429,19701083.637877613
359 + 1508,2050 + 159,-19.9,386912607735093.6,3.4633143847239375e-06
2050 + 359,2260 + 347,-24.1,4.638798949466047e+17,2.8886787605965158e-09
257 + 871,2050 + 825,-2.6,80.52287469679982,16641233.997738224
2050 + 825,822 + 278,-1.4,10.623416845801655,126136441.73527506
257 + 2260,2050 + 278,-5.1,5476.889194372043,244664.43494547252
2050 + 0,257 + 1508,-3.0,158.1749188602047,8471633.86999613
2050 + 15,257 + 1211,-0.3,1.6592573955623648,807590192.807813
2260 + 0,2050 + 15,-8.3,1214173.4991785414,1103.631401036662
257 + 871,822 + 278,-3.9,722.5683030960317,1854495.9615006936
359 + 0,257 + 159,-22.9,6.119987033448891e+16,2.18954712269194e-08
257 + 159,985 + 825,-5.1,5476.889194372043,244664.43494547252
257 + 159,347 + 15,-9.5,9203135.10743638,145.6025565589322
257 + 359,985 + 15,-30.9,4.478344403468191e+22,2.992177196024173e-14
257 + 359,278 + 347,-29.2,2.540618784119493e+21,5.274305647017431e-13
985 + 0,257 + 347,-1.5,12.576761063970512,106545715.00438118
278 + 0,257 + 15,-3.2,221.6903530614061,6044466.894907388
871 + 2260,1211 + 1211,-14.4,35963386272.72013,0.03726011754951038
871 + 0,1211 + 102,-7.0,135307.26453902383,9903.385487580617
1508 + 825,1211 + 102,-1.4,10.623416845801655,126136441.73527506
1211 + 102,822 + 15,-0.2,1.4015518683928414,956083060.6551701
1211 + 155,871 + 347,-1.2,7.579752904887869,176786765.58649945
1211 + 155,159 + 1508,-0.1,1.183871559077606,1131879543.6255255
359 + 822,1211 + 155,-24.1,4.638798949466047e+17,2.8886787605965158e-09
871 + 359,1211 + 159,-28.7,1.0924877300106656e+21,1.2265583980397821e-12
1211 + 359,159 + 2260,-14.3,30377777045.966427,0.04411119345475365
2050 + 871,1211 + 1508,-8.8,2823603.336179338,474.5709083249544
822 + 2260,1211 + 1508,-9.9,18078156.727011453,74.12260111661942
2050 + 359,1211 + 985,-31.2,7.430726071329915e+22,1.8033231034718704e-14
2260 + 347,1211 + 985,-7.1,160186.42222434023,8365.253317933133
871 + 1508,1211 + 822,-4.5,1989.3281608177167,673594.2447269186
871 + 15,1211 + 825,-2.9,133.6081753526067,10029326.397606974
2260 + 15,1211 + 278,-5.4,9087.56890043742,147454.17775434974
2050 + 825,1211 + 0,-3.1,187.2587877980044,7155872.446666988
257 + 871,1211 + 0,-5.7,15078.615905733324,88867.57301712908
1211 + 0,1508 + 15,-2.7,95.32874120871114,14056621.151287697
822 + 278,1211 + 0,-1.8,20.868083807613868,64212891.43524963
2050 + 159,1211 + 347,-9.8,15270369.989373492,87.75163934681959
871 + 985,1211 + 347,-7.3,224509.5793596888,5968.564921914419
