Index,Energy,Na,C,N,H,Mg,O
1000,0.3478,1,30,4,57,2,2
2050,0.165571,2,25,2,52,1,2
257,0.04889,2,17,2,34,,2
871,0.339104,2,26,4,46,2,
1211,0.327628,2,30,4,56,2,1
102,0.051557,2,9,2,14,,
155,0.188267,1,13,2,23,1,
159,0.352635,1,22,4,37,2,
359,0.386848,1,26,4,47,2,1
1508,0.163079,2,21,2,42,1,1
985,0.175045,1,21,2,43,1,2
822,0.16744,2,17,2,32,1,
2260,0.339093,2,34,4,66,2,2
825,0.218306,2,18,4,28,1,
278,0.214275,2,26,4,48,1,2
0,0.051244,2,13,2,24,,1
347,0.174944,1,17,2,33,1,1
15,0.211466,2,22,4,38,1,1
Et2O ,-0.001608,,4,,10,,1
