110_index,110_energy,125_index,125_energy,140_index,140_energy,155_index,155_energy,170_index,170_energy,185_index,185_energy,200_index,200_energy,215_index,215_energy,230_index,230_energy
lowest10_c2_a1_speciation0_speciation0_11_rank01_E129.58,0.359354000000,lowest10_c2_a1_speciation0_speciation0_66b_rank09_E163.89,0.381622000000,lowest10_c2_a1_speciation0_speciation0_133_rank01_E170.43,0.391776000000,lowest10_c2_a1_speciation0_speciation3_11_rank10_E167.35,0.380382000000,lowest10_c2_a1_speciation0_speciation3_66b_rank10_E201.16,0.369609000000,lowest10_c2_a1_speciation0_speciation3_133_rank02_E208.18,0.370820000000,lowest10_c2_a1_speciation3_speciation3_11_rank10_E202.67,0.397840000000,lowest10_c2_a1_speciation3_speciation3_66b_rank03_E236.77,0.459875000000,lowest10_c2_a1_speciation3_speciation3_133_rank09_E239.79,0.408332000000
lowest10_c2_a1_speciation0_speciation0_11_rank07_E130.07,0.360708000000,lowest10_c2_a1_speciation0_speciation0_66b_rank04_E163.71,0.382399000000,lowest10_c2_a1_speciation0_speciation0_133_rank10_E170.73,0.402290000000,lowest10_c2_a1_speciation0_speciation3_11_rank03_E166.55,0.380806000000,lowest10_c2_a1_speciation0_speciation3_66b_rank01_E200.36,0.370884000000,lowest10_c2_a1_speciation0_speciation3_133_rank09_E208.44,0.430382000000,lowest10_c2_a1_speciation3_speciation3_45_rank04_E217.27,0.410791000000,lowest10_c2_a1_speciation3_speciation3_66b_rank06_E237.29,0.480958000000,lowest10_c2_a1_speciation3_speciation3_133_rank10_E239.82,0.422743000000
lowest10_c2_a1_speciation0_speciation0_11_rank05_E130.03,0.361134000000,lowest10_c2_a1_speciation0_speciation0_66b_rank01_E163.59,0.385000000000,lowest10_c2_a1_speciation0_speciation0_133_rank05_E170.60,0.404539000000,lowest10_c2_a1_speciation0_speciation3_11_rank06_E166.88,0.383638000000,lowest10_c2_a1_speciation0_speciation3_66b_rank08_E200.95,0.373565000000,lowest10_c2_a1_speciation0_speciation3_133_rank03_E208.29,0.450694000000,lowest10_c2_a1_speciation3_speciation3_11_rank01_E201.92,0.412452000000,lowest10_c2_a1_speciation3_speciation3_66b_rank07_E237.32,0.490503000000,lowest10_c2_a1_speciation3_speciation3_133_rank08_E239.75,0.425861000000
lowest10_c2_a1_speciation0_speciation0_11_rank09_E130.08,0.361403000000,lowest10_c2_a1_speciation0_speciation0_66b_rank05_E163.79,0.401421000000,lowest10_c2_a1_speciation0_speciation0_133_rank08_E170.65,0.407534000000,lowest10_c2_a1_speciation0_speciation3_11_rank07_E166.92,0.384639000000,lowest10_c2_a1_speciation0_speciation3_66b_rank09_E200.96,0.375740000000,lowest10_c2_a1_speciation0_speciation3_133_rank10_E208.45,0.455425000000,lowest10_c2_a1_speciation3_speciation3_45_rank01_E216.17,0.423419000000,lowest10_c2_a1_speciation3_speciation3_66b_rank01_E236.00,0.522872000000,lowest10_c2_a1_speciation3_speciation3_133_rank02_E239.38,0.430223000000
lowest10_c2_a1_speciation0_speciation0_11_rank03_E129.73,0.362519000000,lowest10_c2_a1_speciation0_speciation0_66b_rank08_E163.88,0.409879000000,lowest10_c2_a1_speciation0_speciation0_133_rank04_E170.51,0.409050000000,lowest10_c2_a1_speciation0_speciation3_11_rank09_E167.19,0.385151000000,lowest10_c2_a1_speciation0_speciation3_66b_rank02_E200.54,0.386911000000,lowest10_c2_a1_speciation0_speciation3_133_rank07_E208.41,0.455689000000,lowest10_c2_a1_speciation3_speciation3_45_rank06_E217.40,0.448464000000,lowest10_c2_a1_speciation3_speciation3_66b_rank08_E237.33,0.524193000000,lowest10_c2_a1_speciation3_speciation3_133_rank03_E239.47,0.439378000000
lowest10_c2_a1_speciation0_speciation0_11_rank06_E130.03,0.363968000000,lowest10_c2_a1_speciation0_speciation0_66b_rank02_E163.59,0.412093000000,lowest10_c2_a1_speciation0_speciation0_133_rank09_E170.69,0.433334000000,lowest10_c2_a1_speciation0_speciation3_11_rank05_E166.68,0.385479000000,lowest10_c2_a1_speciation0_speciation3_66b_rank06_E200.88,0.388718000000,lowest10_c2_a1_speciation0_speciation3_133_rank04_E208.34,0.460571000000,lowest10_c2_a1_speciation3_speciation3_39_rank03_E235.21,0.471441000000,lowest10_c2_a1_speciation3_speciation3_66b_rank10_E237.51,0.541068000000,lowest10_c2_a1_speciation3_speciation3_133_rank07_E239.75,0.572456000000
lowest10_c2_a1_speciation0_speciation0_45_rank09_E145.12,0.364636000000,lowest10_c2_a1_speciation0_speciation0_66b_rank03_E163.64,0.415980000000,lowest10_c2_a1_speciation0_speciation0_133_rank02_E170.48,0.444311000000,lowest10_c2_a1_speciation0_speciation3_45_rank02_E181.11,0.414618000000,lowest10_c2_a1_speciation0_speciation3_66b_rank03_E200.55,0.406048000000,lowest10_c2_a1_speciation0_speciation3_133_rank05_E208.39,0.505106000000,lowest10_c2_a1_speciation3_speciation3_11_rank04_E202.34,0.471908000000,lowest10_c2_a1_speciation3_speciation3_66b_rank02_E236.76,0.547499000000,,
lowest10_c2_a1_speciation0_speciation0_11_rank10_E130.14,0.365881000000,lowest10_c2_a1_speciation0_speciation0_66b_rank06_E163.85,0.416790000000,lowest10_c2_a1_speciation0_speciation0_133_rank06_E170.62,0.444584000000,lowest10_c2_a1_speciation0_speciation3_45_rank01_E180.49,0.423978000000,lowest10_c2_a1_speciation0_speciation3_66b_rank05_E200.81,0.412999000000,,,lowest10_c2_a1_speciation3_speciation3_45_rank02_E216.71,0.480855000000,lowest10_c2_a1_speciation3_speciation3_66b_rank09_E237.49,0.556692000000,,
lowest10_c2_a1_speciation0_speciation0_39_rank01_E165.93,0.374021000000,lowest10_c2_a1_speciation0_speciation0_66b_rank07_E163.88,0.421454000000,lowest10_c2_a1_speciation0_speciation0_133_rank07_E170.64,0.445696000000,lowest10_c2_a1_speciation0_speciation3_39_rank07_E203.81,0.424789000000,lowest10_c2_a1_speciation0_speciation3_66b_rank04_E200.67,0.447205000000,,,lowest10_c2_a1_speciation3_speciation3_11_rank07_E202.57,0.481671000000,,,,
lowest10_c2_a1_speciation0_speciation0_45_rank08_E145.12,0.386304000000,lowest10_c2_a1_speciation0_speciation0_66b_rank10_E163.90,0.472239000000,lowest10_c2_a1_speciation0_speciation0_133_rank03_E170.50,0.447359000000,lowest10_c2_a1_speciation0_speciation3_39_rank08_E203.92,0.425076000000,,,,,lowest10_c2_a1_speciation3_speciation3_39_rank09_E237.31,0.485695000000,,,,
