Index,Na,C,O,H,Mg,N
3339032352,2,58,8,126,2,4
0039011659,2,34,2,66,2,4
0066031636,2,38,3,76,2,4
03133072084,2,54,7,116,2,4
3339072371,2,58,8,126,2,4
0039061661,2,34,2,66,2,4
3311102026,2,58,8,126,2,4
3366092374,2,62,9,136,2,4
0011071300,2,34,2,66,2,4
3366072373,2,62,9,136,2,4
0311101673,2,46,5,96,2,4
0366082009,2,50,6,106,2,4
33133022393,2,66,10,146,2,4
0339102040,2,46,5,96,2,4
0066091638,2,38,3,76,2,4
0311031665,2,46,5,96,2,4
3366032367,2,62,9,136,2,4
3311042023,2,58,8,126,2,4
0066021635,2,38,3,76,2,4
0066051637,2,38,3,76,2,4
0339012025,2,46,5,96,2,4
0339072038,2,46,5,96,2,4
3345012161,2,58,8,126,2,4
0366022005,2,50,6,106,2,4
0045031448,2,34,2,66,2,4
0045101451,2,34,2,66,2,4
0345051821,2,46,5,96,2,4
0045021447,2,34,2,66,2,4
03133042083,2,54,7,116,2,4
0045041449,2,34,2,66,2,4
3366102375,2,62,9,136,2,4
0311061668,2,46,5,96,2,4
0039031661,2,34,2,66,2,4
0366012003,2,50,6,106,2,4
3311022021,2,58,8,126,2,4
0011091300,2,34,2,66,2,4
3339092373,2,58,8,126,2,4
0339052035,2,46,5,96,2,4
0039041661,2,34,2,66,2,4
00133021704,2,42,4,86,2,4
3345042172,2,58,8,126,2,4
3311032022,2,58,8,126,2,4
0311011665,2,46,5,96,2,4
0366062008,2,50,6,106,2,4
0011101301,2,34,2,66,2,4
0066061638,2,38,3,76,2,4
3311052023,2,58,8,126,2,4
0345041821,2,46,5,96,2,4
0039021660,2,34,2,66,2,4
3366012360,2,62,9,136,2,4
0011061300,2,34,2,66,2,4
0345101827,2,46,5,96,2,4
0311071669,2,46,5,96,2,4
0011051300,2,34,2,66,2,4
03133102084,2,54,7,116,2,4
0311051666,2,46,5,96,2,4
3345022167,2,58,8,126,2,4
3311082025,2,58,8,126,2,4
0339042034,2,46,5,96,2,4
0345031813,2,46,5,96,2,4
0339082039,2,46,5,96,2,4
00133081706,2,42,4,86,2,4
0066081638,2,38,3,76,2,4
3311072025,2,58,8,126,2,4
0345021811,2,46,5,96,2,4
00133041705,2,42,4,86,2,4
03133022081,2,54,7,116,2,4
0366032005,2,50,6,106,2,4
0345081826,2,46,5,96,2,4
3345062174,2,58,8,126,2,4
0066101639,2,38,3,76,2,4
00133101707,2,42,4,86,2,4
0066041637,2,38,3,76,2,4
03133032082,2,54,7,116,2,4
00133051706,2,42,4,86,2,4
3366022367,2,62,9,136,2,4
03133092084,2,54,7,116,2,4
0011011295,2,34,2,66,2,4
0011031297,2,34,2,66,2,4
0311081669,2,46,5,96,2,4
0039101662,2,34,2,66,2,4
0366042006,2,50,6,106,2,4
0039091662,2,34,2,66,2,4
0045071450,2,34,2,66,2,4
00133061706,2,42,4,86,2,4
00133091706,2,42,4,86,2,4
0039081662,2,34,2,66,2,4
0045061450,2,34,2,66,2,4
33133102398,2,66,10,146,2,4
00133031705,2,42,4,86,2,4
0045011445,2,34,2,66,2,4
0011021296,2,34,2,66,2,4
0366092009,2,50,6,106,2,4
0311021665,2,46,5,96,2,4
0345011804,2,46,5,96,2,4
0066071638,2,38,3,76,2,4
33133072397,2,66,10,146,2,4
03133052083,2,54,7,116,2,4
0339032030,2,46,5,96,2,4
0345091827,2,46,5,96,2,4
3311012019,2,58,8,126,2,4
33133082397,2,66,10,146,2,4
0066011635,2,38,3,76,2,4
3366062372,2,62,9,136,2,4
0345071825,2,46,5,96,2,4
0339092039,2,46,5,96,2,4
0311041666,2,46,5,96,2,4
0339062038,2,46,5,96,2,4
00133071706,2,42,4,86,2,4
0011041299,2,34,2,66,2,4
3366082373,2,62,9,136,2,4
0039051661,2,34,2,66,2,4
0039071662,2,34,2,66,2,4
3345102177,2,58,8,126,2,4
00133011704,2,42,4,86,2,4
3311062024,2,58,8,126,2,4
0045091451,2,34,2,66,2,4
0311091671,2,46,5,96,2,4
33133032394,2,66,10,146,2,4
33133092397,2,66,10,146,2,4
0366102011,2,50,6,106,2,4
0366052008,2,50,6,106,2,4
0045081451,2,34,2,66,2,4
0339022026,2,46,5,96,2,4
