Reactants,Products,dE (kcal/mol),K,k2
3366032367 + 3133022081,3311102026 + 3311102026,-22.0,1.3397051161717394e+16,1.0002201109965924e-07
3311102026 + 3311102026,33133092397 + 366102011,-11.1,137027960.96658316,9.779026050944333
66091638 + 33133092397,3311102026 + 311101673,-7.4,265790.5057444123,5041.5645820267255
3366032367 + 133011704,3311102026 + 311101673,-46.1,6.214622685491708e+33,2.1562049183263933e-25
3366032367 + 11011295,3311102026 + 66091638,-25.0,2.1190774804706545e+18,6.323506395350779e-10
3366032367 + 366102011,3311102026 + 3133022081,-38.2,1.005431218250474e+28,1.3327614815180502e-19
3311102026 + 11011295,66091638 + 3133022081,-3.0,158.1749188602047,8471633.86999613
66091638 + 3366032367,3311102026 + 133011704,-32.6,7.893970052270381e+23,1.6974982057533943e-15
3311102026 + 133011704,366102011 + 366102011,-31.6,1.459652922018356e+23,9.180264566915647e-15
3366032367 + 3366032367,3311102026 + 33133092397,-71.3,1.8457410744613581e+52,7.259956548298908e-44
3366032367,3311102026 + Et2O,-39.9,1.7722718959132037e+29,7.560916601397295e-21
311101673 + 311101673,3311102026 + 11011295,-2.2,40.99217117454028,32689168.726741098
311101673 + 311101673,66091638 + 3133022081,-5.2,6483.933349436525,206664.67833393914
311101673 + 3366032367,3311102026 + 366102011,-45.7,3.163708174454719e+33,4.235536042229798e-25
311101673 + 3366032367,3133022081 + 3133022081,-61.9,2.374321726202324e+45,5.643717046481737e-37
3311102026 + 133011704,311101673 + 3133022081,-24.1,4.638798949466047e+17,2.8886787605965158e-09
66091638 + 3366032367,311101673 + 3133022081,-56.7,3.6618539985588285e+41,3.65934851724666e-33
311101673 + 3133022081,366102011 + 366102011,-7.5,314661.8204236629,4258.540162882851
66091638 + 133011704,311101673 + 11011295,-21.1,2932701962417846.0,4.5691652857054937e-07
311101673 + 133011704,66091638 + 366102011,-13.1,4007752947.510607,0.3343519467267396
311101673 + 133011704,3133022081 + 11011295,-26.3,1.901544405807888e+19,7.046903537499505e-11
311101673 + 33133092397,3311102026 + 3133022081,-12.6,1723367924.1597984,0.777547255704725
3366032367 + 366102011,311101673 + 33133092397,-25.6,5.834106601123202e+18,2.2968383878039161e-10
3311102026 + 66091638,311101673 + 366102011,-18.5,36420731046433.8,3.679223237698323e-05
3366032367 + 11011295,311101673 + 366102011,-43.4,6.519149006578796e+31,2.0554830065208508e-23
3133022081 + 133011704,311101673 + 366102011,-7.9,618105.2042829661,2167.915737830535
311101673 + Et2O,366102011,-5.8,17851.144521052902,75065.2149177135
3366032367 + 133011704,66091638 + 33133092397,-38.7,2.338165792674252e+28,5.730987957305583e-20
3311102026 + 366102011,3133022081 + 3133022081,-16.2,750486958744.7147,0.001785507375426378
66091638 + 366102011,3133022081 + 11011295,-13.2,4744664730.367246,0.2824224842323646
3311102026 + 66091638,3133022081 + 133011704,-10.6,58923191.0588484,22.74147030940162
3366032367 + 11011295,3133022081 + 133011704,-35.5,1.0546989349719698e+26,1.2705047436457424e-17
3311102026 + 3366032367,3133022081 + 33133092397,-49.3,1.377721897290072e+36,9.726200930940637e-28
3311102026 + 311101673,3133022081 + 366102011,-23.7,2.361495926428303e+17,5.674369305505061e-09
66091638 + 33133092397,3133022081 + 366102011,-31.1,6.276631965987493e+22,2.134902934027899e-14
3366032367 + 133011704,3133022081 + 366102011,-69.8,1.4675806156077695e+51,9.130673884276302e-43
3311102026,3133022081 + Et2O,-18.0,15661224751605.924,8.556163526499385e-05
66091638 + 66091638,11011295 + 133011704,-7.6,372519.17992715887,3597.1302209513588
3311102026 + 133011704,11011295 + 33133092397,-13.8,13062703029.3408,0.10258213763186363
11011295 + 33133092397,311101673 + 3133022081,-10.3,35511784.49855749,37.73395279683654
66091638 + 3366032367,11011295 + 33133092397,-46.3,8.710116036207353e+33,1.5384410430695897e-25
11011295 + 33133092397,366102011 + 366102011,-17.9,13228820839152.582,0.00010129398653839795
311101673 + 66091638,11011295 + 366102011,-20.7,1492964841357310.2,8.975429044810967e-07
133011704 + 133011704,11011295 + 366102011,-34.3,1.3914687565762563e+25,9.630112021322732e-17
66091638,11011295 + Et2O,-15.0,99012061232.33348,0.013533704715586794
133011704 + 133011704,311101673 + 66091638,-13.5,7872620043.325758,0.1702101705182665
133011704 + 33133092397,3311102026 + 366102011,-20.5,1065222682817501.4,1.2579529347382237e-06
311101673 + 3366032367,133011704 + 33133092397,-25.2,2.9699970020228526e+18,4.511789066074247e-10
133011704 + 33133092397,3133022081 + 3133022081,-36.7,7.994357316135954e+26,1.6761822708316028e-18
133011704 + 366102011,3311102026 + 11011295,-2.6,80.52287469679982,16641233.997738224
133011704 + 366102011,311101673 + 311101673,-0.4,1.964347639795465,682160312.5908638
133011704 + 366102011,66091638 + 3133022081,-5.6,12736.699171556733,105207.7922192316
133011704 + Et2O,311101673,-6.1,29619.643565809583,45240.24730489272
3366032367 + 3133022081,33133092397 + 366102011,-33.1,1.835770603655116e+24,7.299386956801626e-16
66091638 + 3366032367,366102011 + 366102011,-64.2,1.1522456453121771e+47,1.1629464649761855e-38
3133022081,366102011 + Et2O,-1.8,20.868083807613868,64212891.43524963
133011704,66091638 + Et2O,-7.4,265790.5057444123,5041.5645820267255
3366032367 + Et2O,33133092397,-31.3,8.797025259143979e+22,1.52324218758739e-14
