39_energy,39_index,65_energy,65_index,54_energy,54_index,80_energy,80_index,69_energy,69_index,95_energy,95_index
75.54418526080589,1.0,138.16893636150775,4.0,130.69247566435627,36.0,182.08064557059535,70.0,172.55001414678924,96.0,242.8643436324703,138
99.49210209203468,0.0,141.5152525028909,3.0,138.64479363253443,37.0,192.64830795432047,72.0,183.85048583133084,95.0,244.8562284939064,117
123.38662926098836,2.0,154.57301096385353,8.0,185.77958275080255,38.0,201.1407857098893,66.0,,,246.7944988791189,116
,,157.20242825622958,7.0,,,205.69210826548627,40.0,,,250.44471589951945,109
,,167.47843933726094,5.0,,,213.4951471806422,47.0,,,252.9637618979453,115
,,170.366605651678,11.0,,,217.0339928534882,44.0,,,254.5449808314121,131
,,174.6508037233954,15.0,,,220.2679039636466,73.0,,,259.21369192710904,122
,,178.304087902768,10.0,,,221.5310726615241,39.0,,,262.0239039029411,99
,,179.26325406983975,6.0,,,221.9354117204437,45.0,,,264.2872495237759,126
,,179.9400892627408,9.0,,,222.26735205907008,43.0,,,265.1726589670699,125
,,184.76510122948616,13.0,,,222.4268182459946,65.0,,,268.4037303186492,136
,,188.5669046806289,12.0,,,225.0627648336799,68.0,,,268.88822617962984,145
,,191.07978370518367,21.0,,,226.22166197866784,57.0,,,269.0136251852494,114
,,194.62702295367583,20.0,,,227.0585588935929,67.0,,,269.9430134371607,112
,,201.99702649330447,26.0,,,231.90608860377696,48.0,,,270.89412768426564,139
,,204.67176350271205,17.0,,,232.24509476963263,64.0,,,276.32875136569766,111
,,208.23291841358872,25.0,,,237.18244080239108,86.0,,,276.395239512084,101
,,210.38644265107277,16.0,,,241.7286958548796,46.0,,,277.9175919923661,97
,,218.44621223167337,14.0,,,242.39798247617955,49.0,,,278.62344804143123,149
,,219.80281522690905,18.0,,,246.23672584140928,82.0,,,282.07105162068325,147
,,230.2072208473402,24.0,,,248.63024039915223,85.0,,,285.9361774647498,104
,,237.1756069731752,30.0,,,248.84152345051592,53.0,,,286.60688696318323,105
,,258.52970769372394,28.0,,,249.0006847705341,74.0,,,287.049647429109,106
,,262.5351227194678,29.0,,,252.33916555035,84.0,,,287.776874223627,100
,,291.31175131743834,31.0,,,254.54770930891507,56.0,,,288.7098083491983,148
,,317.1265918296336,22.0,,,256.36854471150565,87.0,,,290.1989078280949,102
,,359.1444559355956,23.0,,,257.2510617742508,71.0,,,290.44310315457847,135
,,364.3657369933624,32.0,,,258.15910846565447,41.0,,,294.6289228579309,132
,,414.168162738608,33.0,,,259.91865973695235,78.0,,,295.9534377845316,140
,,449.32030602611536,35.0,,,263.09158968965323,42.0,,,299.9171381379917,127
,,492.74970887038296,34.0,,,265.5273143011161,50.0,,,308.2124354455588,103
,,502.2857571113403,19.0,,,268.0805499142551,79.0,,,308.3226295147668,137
,,523.6953456512443,27.0,,,274.4768451872308,76.0,,,308.5298483588924,121
,,,,,,277.43755086067256,75.0,,,311.6455409594264,133
,,,,,,279.4128349169805,59.0,,,314.84367999468924,141
,,,,,,279.60566733120453,81.0,,,315.1760559785329,98
,,,,,,284.1754435286218,89.0,,,319.9677932607612,110
,,,,,,290.12601477357646,93.0,,,321.3942468557044,107
,,,,,,295.4060705381889,90.0,,,323.92200335717763,119
,,,,,,295.55773457773114,91.0,,,326.4029863288732,142
,,,,,,298.66615950216885,52.0,,,327.1988791095648,108
,,,,,,309.6933414457956,61.0,,,327.47785597377947,130
,,,,,,311.607767582644,54.0,,,329.2566800611644,124
,,,,,,345.77924790665327,60.0,,,330.41211164049355,134
,,,,,,346.660339736224,77.0,,,337.5741463948137,113
,,,,,,354.989699374179,69.0,,,349.0448831497909,118
,,,,,,363.0442304743797,62.0,,,352.7202419797661,144
,,,,,,392.0205224952819,55.0,,,369.8481799347946,151
,,,,,,398.9462535650257,58.0,,,376.1003117886655,150
,,,,,,411.1063693583763,83.0,,,389.3745172579179,153
,,,,,,469.6112158091894,80.0,,,446.7539073555438,146
,,,,,,493.406413273919,94.0,,,474.0564727224343,128
,,,,,,576.9321787723073,88.0,,,481.4220315126182,123
,,,,,,644.8766846217852,51.0,,,498.4671224247925,129
,,,,,,681.3584879404045,63.0,,,576.3488626260753,120
,,,,,,2366.483388485511,92.0,,,595.2588511847932,143
,,,,,,,,,,805.6475788238275,152
